date,entry_time,exit_time,direction,outcome,or_high,or_low,breakout_time,breakout_price,retest_price,entry_price,target_price,stop_price,rsi,rel_volume,price_to_vwap,price_to_ema9,or_range_pct,macd,macd_signal,adx,hammer,shooting_star,features
2025-01-08,2025-01-08 10:00:00,,LONG,1,516.77,516.61,2025-01-08 09:59:00,516.9,517.17,517.17,519.7558499999999,515.877075,67.0884403723032,4.461702127659574,0.00020113486479478304,0.0007165274112890252,0.03097113877005249,0.028663140181151903,0.0030695312352030336,16.761014859614033,False,False,"[np.float64(-1.9355088452743807e-05), np.float64(0.0019355463079436573), np.float64(0.0), np.float64(0.0), np.float64(-5.807200929142109e-05), np.float64(0.005807538184558281), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.6708844037230319), 1, np.float64(0.028663140181151903), np.float64(0.0030695312352030336), np.float64(0.16761014859614032), 0, 0]"
2025-01-08,2025-01-08 10:32:00,,SHORT,1,516.77,516.61,2025-01-08 09:51:00,516.57,517.1,517.1,514.5145,518.39275,58.028776460408544,2.890575585072739,1.5084350527772017e-05,0.00013560825900960083,0.03097113877005249,0.0762137059360839,0.0726923220023545,19.817161742631363,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.5802877646040855), np.float64(0.9635251950242463), np.float64(0.0762137059360839), np.float64(0.0726923220023545), np.float64(0.19817161742631362), 0, 0]"
2025-01-10,2025-01-10 10:12:00,,LONG,1,513.71,513.5,2025-01-10 10:02:00,513.83,513.66,513.66,516.2282999999999,512.37585,53.90398667252575,1.2368108448046957,3.114910609669508e-06,0.00023143442279294213,0.04089581304771887,-0.00982755226016252,-0.019531691294656914,11.690746200284627,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0002921926133707675), np.float64(0.029219261337068966), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-1.947495520759901e-05), np.float64(0.0019475334488852133), np.float64(0.5390398667252575), np.float64(0.41227028160156526), np.float64(-0.00982755226016252), np.float64(-0.019531691294656914), np.float64(0.11690746200284627), 0, 0]"
2025-01-10,2025-01-10 09:49:00,,SHORT,-1,513.71,513.5,2025-01-10 09:44:00,513.35,513.43,513.43,510.8628499999999,514.7135749999999,46.286372908746316,1.2531055900621118,-8.218555941308381e-05,-3.929938343472106e-05,0.04089581304771887,-0.07872173908083369,-0.08848676814567043,17.870712526248287,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(-0.0002919935372098781), np.float64(0.029207882233836545), np.float64(-0.00036998091677364897), np.float64(0.03701178533163356), np.float64(0.0), np.float64(0.0), np.float64(0.0001558239189716204), np.float64(0.015582391897164188), np.float64(0.46286372908746315), np.float64(0.41770186335403725), np.float64(-0.07872173908083369), np.float64(-0.08848676814567043), np.float64(0.17870712526248286), 0, 0]"
2025-01-13,2025-01-13 09:38:00,,LONG,-1,500.1,499.86,2025-01-13 09:36:00,500.46,500.31,500.31,502.81154999999995,499.059225,45.32622607763752,2.386962008790635,4.59717090106615e-06,0.00032945643601212105,0.04801344376425581,-0.32960463034828535,-0.49688108992921176,29.688451930022456,False,False,"[np.float64(0.00014001960274434566), np.float64(0.028007842195812097), np.float64(0.00023991363109288066), np.float64(0.05597984725498275), np.float64(0.0), np.float64(0.0), 0, 0, 0, 0, np.float64(0.4532622607763752), np.float64(0.7956540029302116), np.float64(-0.32960463034828535), np.float64(-0.49688108992921176), np.float64(0.2968845193002246), 0, 0]"
2025-01-13,2025-01-13 16:58:00,2025-01-13 17:11:00,SHORT,-1,500.1,499.86,2025-01-13 14:37:00,499.77,500.64,500.64,498.1368,501.8916,31.29372017511848,1.3905345978547745,0.0003510739926904094,-0.001091670966245073,0.04801344376425581,-0.20113802605885667,-0.025081714779084826,23.380155581919745,True,False,"[np.float64(-0.0004981369677407033), np.float64(0.059807420107256905), np.float64(-0.0005581580783413642), np.float64(0.0817759339409953), np.float64(-0.0007578930573006737), np.float64(0.0877879356461318), np.float64(-0.0004440763212518739), np.float64(0.07037303298985317), np.float64(-0.00023959747623980565), np.float64(0.04194630872483948), np.float64(0.3129372017511848), np.float64(0.46351153261825817), np.float64(-0.20113802605885667), np.float64(-0.025081714779084826), np.float64(0.23380155581919745), 1, 0]"
2025-01-14,2025-01-14 09:41:00,,LONG,-1,509.47,509.24,2025-01-14 09:35:00,509.64,509.5,509.5,512.0474999999999,508.22625000000005,55.441889027727534,2.6560799129154127,-7.477360377949882e-05,6.645706643837457e-05,0.045165344434847654,0.08204835921424092,0.08832667372480471,16.071750398901138,False,True,"[np.float64(-5.8865081233760996e-05), np.float64(0.011774402449076155), np.float64(0.0), np.float64(0.0), np.float64(-3.925031890894548e-05), np.float64(0.005887778933532777), np.float64(0.0), np.float64(0.0), 0, 0, np.float64(0.5544188902772753), np.float64(0.8853599709718042), np.float64(0.08204835921424092), np.float64(0.08832667372480471), np.float64(0.16071750398901138), 0, 1]"
2025-01-14,2025-01-14 10:00:00,,SHORT,1,509.47,509.24,2025-01-14 09:55:00,509.2,509.12,509.12,506.5744,510.39279999999997,39.87190738151791,1.6949860724233983,-0.00018086765809377514,-0.00047275821002346063,0.045165344434847654,-0.0030509152443869425,0.04657211962685719,15.048638594211358,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(-0.00027475762452411345), np.float64(0.029446407538287027), np.float64(0.00017669925786312213), np.float64(0.017669925786317948), np.float64(5.8914789575981175e-05), np.float64(0.007855459544387365), np.float64(9.817396426470282e-05), np.float64(0.009817396426469931), np.float64(0.39871907381517907), np.float64(0.564995357474466), np.float64(-0.0030509152443869425), np.float64(0.04657211962685719), np.float64(0.15048638594211358), 0, 0]"
2025-01-15,2025-01-15 09:47:00,,LONG,-1,505.91,505.83,2025-01-15 09:39:00,506.04,506.25,506.25,508.78124999999994,504.984375,66.2291592800764,1.6067939275514806,7.58576057917626e-05,0.0002314037336892394,0.015815590218065542,0.14264008089719482,0.10249776365004126,29.00582877116633,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00019755037534574527), np.float64(0.01975503753457581), np.float64(0.0), np.float64(0.0), np.float64(-0.0003159932061460591), np.float64(0.03160930894147698), np.float64(0.662291592800764), np.float64(0.5355979758504935), np.float64(0.14264008089719482), np.float64(0.10249776365004126), np.float64(0.2900582877116633), 0, 0]"
2025-01-15,2025-01-15 10:17:00,,SHORT,-1,505.91,505.83,2025-01-15 10:16:00,505.7,505.56,505.56,503.0322,506.8239,33.58026711146313,1.771764705882353,-9.948373282742118e-05,-0.000639548843338611,0.015815590218065542,-0.03405284093423688,0.029590890960942497,18.71672589898106,False,False,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(-0.00011862161681264194), np.float64(0.021752026893417764), np.float64(0.3358026711146313), np.float64(0.5905882352941176), np.float64(-0.03405284093423688), np.float64(0.029590890960942497), np.float64(0.1871672589898106), 0, 0]"
